nation,pool,multiplier,wins,draws,clean_sheets,games_3_plus_scored,games_3_plus_conceded,wins_vs_pool_a,reached_last32,reached_last16,reached_qf,reached_semi,reached_final,winner
France,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
England,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
United States,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,B,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Iran,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Austria,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Australia,C,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Canada,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Norway,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Panama,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,D,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Czech Rep,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,E,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia & H.,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Curaçao,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,F,1.5,0,0,0,0,0,0,0,0,0,0,0,0
